scenario,phase,latency_avg_ms,latency_min_ms,latency_max_ms,throughput_msg_s,influxdb_available,nodered_available,grafana_available,temp_anomalies,humidity_anomalies,power_anomalies,temp_integrity
scenario_1,baseline,0.97,0.35,1.55,1.07,True,True,True,11,10,0,COMPROMISED
scenario_1,during_attack,1.07,0.35,2.87,1.0,True,True,True,11,10,0,COMPROMISED
scenario_2,baseline,0.97,0.26,1.54,1.07,True,True,True,11,10,0,COMPROMISED
scenario_2,during_attack,1.1,0.22,2.75,1.0,True,True,True,21,20,0,COMPROMISED
scenario_3,baseline,0.95,0.3,1.12,1.2,True,True,True,21,20,0,COMPROMISED
scenario_3,during_attack,0.2,0.14,0.33,1.13,True,True,True,21,20,0,COMPROMISED
scenario_4,baseline,0.14,0.11,0.21,1.07,True,True,True,21,20,0,COMPROMISED
scenario_4,during_attack,0.89,0.26,1.92,1.13,True,True,True,21,20,0,COMPROMISED
scenario_5,baseline,1.02,0.27,1.77,1.07,True,True,True,21,20,0,COMPROMISED
scenario_5,during_attack,0.89,0.21,1.44,1.0,True,True,True,21,20,0,COMPROMISED
