scenario,phase,latency_avg_ms,latency_min_ms,latency_max_ms,throughput_msg_s,influxdb_available,nodered_available,grafana_available,temp_anomalies,humidity_anomalies,power_anomalies,temp_integrity,ttd_seconds,ttd_detected,ttd_alert_count
scenario_1,baseline,1.95,0.16,31.44,1.2,True,True,True,0,0,0,OK,,,
scenario_1,during_attack,0.2,0.16,0.26,1.13,True,True,True,0,0,0,OK,,,
scenario_2,baseline,0.57,0.14,7.33,1.13,True,True,True,0,0,0,OK,,,
scenario_2,during_attack,0.2,0.14,0.54,1.0,True,True,True,0,0,0,OK,,,
scenario_3,baseline,0.21,0.14,0.32,1.0,True,True,True,0,0,0,OK,,,
scenario_3,during_attack,0.2,0.13,0.4,1.07,True,True,True,0,0,0,OK,,,
scenario_4,baseline,0.29,0.14,1.56,1.0,True,True,True,0,0,0,OK,,,
scenario_4,during_attack,0.22,0.15,0.46,1.07,True,True,True,0,0,0,OK,,,
scenario_5,baseline,0.19,0.13,0.33,1.2,True,True,True,0,0,0,OK,,,
scenario_5,during_attack,0.19,0.15,0.33,1.13,True,True,True,0,0,0,OK,,,
