scenario,phase,latency_avg_ms,latency_min_ms,latency_max_ms,throughput_msg_s,influxdb_available,nodered_available,grafana_available,temp_anomalies,humidity_anomalies,power_anomalies,temp_integrity
scenario_1,baseline,1.14,0.36,1.64,0.93,True,True,True,0,0,2,OK
scenario_1,during_attack,1.26,0.41,2.09,0.93,True,True,True,0,0,4,OK
scenario_2,baseline,1.22,0.53,1.79,1.0,True,True,True,0,0,5,OK
scenario_2,during_attack,1.11,0.55,2.01,1.07,True,True,True,0,0,6,OK
scenario_3,baseline,1.07,0.25,1.86,0.93,True,True,True,0,0,8,OK
scenario_3,during_attack,1.22,0.75,1.59,0.93,True,True,True,0,0,10,OK
scenario_4,baseline,1.1,0.46,1.62,1.0,True,True,True,0,0,11,OK
scenario_4,during_attack,1.03,0.24,3.42,1.0,True,True,True,0,0,13,OK
scenario_5,baseline,1.08,0.56,1.81,1.0,True,True,True,0,0,15,OK
scenario_5,during_attack,1.08,0.42,1.47,1.0,True,True,True,0,0,16,OK
