scenario,phase,latency_avg_ms,latency_min_ms,latency_max_ms,throughput_msg_s,influxdb_available,nodered_available,grafana_available,temp_anomalies,humidity_anomalies,power_anomalies,temp_integrity,ttd_seconds,ttd_detected,ttd_alert_count
scenario_1,baseline,1.21,0.63,1.94,0.93,True,True,True,0,0,2,OK,,,
scenario_1,during_attack,1.22,0.46,1.71,0.93,True,True,True,0,0,2,OK,,False,0
scenario_2,baseline,1.17,0.53,1.58,1.0,True,True,True,0,0,3,OK,,,
scenario_2,during_attack,0.94,0.23,2.23,1.0,True,True,True,0,0,4,OK,,False,0
scenario_3,baseline,1.09,0.4,1.49,1.0,True,True,True,0,0,7,OK,,,
scenario_3,during_attack,1.23,0.25,3.95,1.0,True,True,True,0,0,7,OK,10.089,True,2
scenario_4,baseline,1.2,0.24,1.91,1.0,True,True,True,0,0,8,OK,,,
scenario_4,during_attack,1.12,0.32,5.45,1.0,True,True,True,0,0,8,OK,7.204,True,1
scenario_5,baseline,1.06,0.34,1.51,1.0,True,True,True,0,0,11,OK,,,
scenario_5,during_attack,1.02,0.32,1.71,1.0,True,True,True,0,0,12,OK,5.169,True,4
